ageInYears,age_orev,subjID,mean_orev,cor_orev,n_orev,age_tango,mean_tango,time_diff
3,3.5592060232717317,8DkEKkAT,0.5,11,22,3.0390143737166326,0.06666666666666667,0.5201916495550991
3,3.5592060232717317,JbdZLhpu,0.6818181818181819,15,22,3.0882956878850103,0.26666666666666666,0.47091033538672145
3,3.619438740588638,Vs4caETn,0.5909090909090909,13,22,3.5592060232717317,0.4,0.06023271731690638
3,3.676933607118412,8BF2TQx3,0.5454545454545454,12,22,3.162217659137577,0.5333333333333333,0.514715947980835
3,3.7508555783709783,LYJZWGdn,0.5909090909090909,13,22,3.156741957563313,0.13333333333333333,0.5941136208076654
3,3.780971937029432,6vVt2bRM,1,22,22,3.266255989048597,0.5333333333333333,0.514715947980835
3,3.822039698836414,6TsKs9ma,0.6363636363636364,14,22,3.3018480492813143,0.7333333333333333,0.5201916495550996
3,3.8576317590691303,aN8Fwzxn,0.7272727272727273,16,22,3.323750855578371,0.4666666666666667,0.5338809034907595
3,3.863107460643395,b8bD13N5,0.6363636363636364,14,22,3.3073237508555784,1,0.5557837097878164
3,3.893223819301848,CkdJUbSH,0.5,11,22,3.345653661875428,0.5333333333333333,0.5475701574264202
3,3.915126625598905,4NgqmQZo,0.8181818181818181,18,22,3.4168377823408624,0.6666666666666666,0.49828884325804257
4,4.010951403148528,BdTAfvqS,0.45454545454545453,10,22,3.457905544147844,0.3333333333333333,0.5530458590006844
4,4.024640657084189,bVinhgvQ,0.7727272727272727,17,22,3.485284052019165,0.5333333333333333,0.5393566050650236
4,4.05201916495551,k5KwQb91,0.7727272727272727,17,22,3.583846680355921,0.6,0.4681724845995894
4,4.068446269678303,bxDYS8Vr,0.5,11,22,3.542778918548939,0.6,0.5256673511293637
4,4.123203285420945,kMvnswNk,0.7272727272727273,16,22,3.6659822039698837,0.2,0.4572210814510611
4,4.167008898015058,bEu2S3H3,0.7272727272727273,16,22,3.6440793976728267,0.2,0.5229295003422312
4,4.2354551676933605,fMLN8Jfg,0.5909090909090909,13,22,3.7344284736481863,0.2,0.5010266940451742
4,4.284736481861739,avTm3EVu,0.7272727272727273,16,22,3.7399041752224504,0.7333333333333333,0.5448323066392882
4,4.301163586584531,DtAJsQe9,0.6363636363636364,14,22,3.79192334017796,0.06666666666666667,0.5092402464065708
4,4.314852840520191,K94keXoS,0.8181818181818181,18,22,3.898699520876112,0.6666666666666666,0.4161533196440792
4,4.342231348391513,fqddM45c,0.9090909090909091,20,22,3.8576317590691307,0.8666666666666667,0.48459958932238223
4,4.432580424366872,eDmZSWi4,0.6818181818181819,15,22,3.9342915811088295,0.4666666666666667,0.49828884325804257
4,4.462696783025325,FddDJWAH,0.7727272727272727,17,22,3.972621492128679,0.13333333333333333,0.4900752908966459
4,4.517453798767967,d5dq4iB2,0.6818181818181819,15,22,4.035592060232717,0.4666666666666667,0.48186173853525016
4,4.525667351129363,YWSrptoq,0.9090909090909091,20,22,4.035592060232717,0.06666666666666667,0.49007529089664637
4,4.528405201916495,fqRh7Ggk,0.5454545454545454,12,22,3.991786447638604,0.13333333333333333,0.5366187542778915
4,4.561259411362081,F7GqmF2c,0.6363636363636364,14,22,4.112251882272417,0.4,0.44900752908966446
4,4.640657084188912,ehFsp6bF,0.5909090909090909,13,22,4.1040383299110195,0.13333333333333333,0.5366187542778924
4,4.643394934976044,GPyfqtkW,0.6818181818181819,15,22,4.145106091718001,0.06666666666666667,0.49828884325804257
4,4.643394934976044,h2qWGKse,0.6363636363636364,14,22,4.161533196440794,0.13333333333333333,0.48186173853525016
4,4.65160848733744,EwwzkeP4,0.8181818181818182,18,22,4.172484599589322,0.3333333333333333,0.4791238877481181
4,4.698151950718686,EGM9rFZN,0.7272727272727273,16,22,4.213552361396304,0.6666666666666666,0.48459958932238223
4,4.7091033538672145,cpyGLcdv,0.7727272727272727,17,22,4.191649555099247,0.6,0.517453798767967
4,4.731006160164271,FcTGCLeN,0.6818181818181819,15,22,4.2354551676933605,0.5333333333333333,0.4955509924709105
4,4.766598220396989,G4xuDhG5,0.4545454545454545,10,22,4.2792607802874745,0.4666666666666667,0.4873374401095143
4,4.769336071184121,h93ecmtZ,0.8181818181818181,18,22,4.314852840520191,0.3333333333333333,0.4544832306639295
5,5.0568104038329915,eHgiVPu7,0.8181818181818182,18,22,4.563997262149213,0.5333333333333333,0.49281314168377843
5,5.089664613278576,UZY85zkx,0.5454545454545454,12,22,4.605065023956194,0.06666666666666667,0.48459958932238223
5,5.122518822724161,7QpFfKxJ,0.9090909090909091,20,22,4.602327173169062,0.6666666666666666,0.5201916495550991
5,5.127994524298426,XJMbX2LB,0.7727272727272727,17,22,4.684462696783025,0.3333333333333333,0.4435318275154012
5,5.136208076659822,7LPV4F8X,0.6818181818181819,15,22,4.594113620807666,0.6666666666666666,0.5420944558521565
5,5.1416837782340865,Gr5MdW9s,0.8181818181818182,18,22,4.692676249144422,0.6666666666666666,0.44900752908966446
5,5.177275838466803,BwrSW5a2,0.7727272727272727,17,22,4.670773442847365,0.6666666666666666,0.5065023956194388
5,5.1854893908282,ntLubNM2,0.7272727272727273,16,22,4.788501026694045,0.4,0.3969883641341543
5,5.2731006160164275,ToMxbiWM,1,22,22,NA,0.2,NA
5,5.333333333333333,bHdRvq6u,0.8181818181818182,18,22,4.870636550308008,0.4666666666666667,0.4626967830253248
5,5.333333333333333,e1DnGPm8,0.7272727272727273,16,22,4.870636550308008,0.06666666666666667,0.4626967830253248
5,5.347022587268994,pLXiffrC,0.8181818181818182,18,22,4.640657084188912,0.3333333333333333,0.7063655030800824
5,5.374401095140315,9D2g7m4J,0.6818181818181818,15,22,4.832306639288158,0.6666666666666666,0.5420944558521565
5,5.382614647501711,EY65ztVH,0.7272727272727273,16,22,4.8815879534565365,0.8666666666666667,0.5010266940451746
5,5.390828199863107,MF2KGSeQ,0.6363636363636364,14,22,NA,0.06666666666666667,NA
5,5.541409993155373,8Mf2yxuW,0.6818181818181819,15,22,4.980150581793292,0.5333333333333333,0.561259411362081
5,5.541409993155373,b3RXH5eN,0.6363636363636364,14,22,5.01574264202601,0.7333333333333333,0.5256673511293632
5,5.546885694729637,4caxx1Za,0.5454545454545454,12,22,5.037645448323066,0.6666666666666666,0.5092402464065708
5,5.555099247091033,DCFoah7b,0.5909090909090909,13,22,5.06776180698152,0.5333333333333333,0.4873374401095134
5,5.607118412046543,FSFzkoTs,0.8181818181818181,18,22,5.092402464065708,0.7333333333333333,0.514715947980835
5,5.637234770704997,3F6fEdLi,0.7727272727272727,17,22,5.08145106091718,0.13333333333333333,0.5557837097878169
5,5.639972621492129,aaD3Fzr6,0.8181818181818181,18,22,5.108829568788501,0.5333333333333333,0.5311430527036283
5,5.68104038329911,1XKPmPrA,0.7727272727272727,17,22,5.1416837782340865,0.8,0.5393566050650236
5,5.686516084873374,3qeEa3WC,0.7727272727272727,17,22,5.155373032169747,0.5333333333333333,0.5311430527036274
5,5.700205338809035,3exQoXXu,0.9090909090909091,20,22,5.171800136892539,0.6,0.5284052019164953
5,5.768651608487337,1VTSBPTe,0.5454545454545454,12,22,5.242984257357974,0.13333333333333333,0.5256673511293632
5,5.776865160848733,eVeweCZv,0.8636363636363635,19,22,5.2731006160164275,0.6666666666666666,0.5037645448323058
5,5.831622176591376,5JxZvrdw,0.8181818181818181,18,22,5.284052019164956,0.6,0.5475701574264198
5,5.8507871321013,1GuQWuLR,0.9545454545454546,21,22,5.28952772073922,0.6,0.5612594113620801
5,5.8726899383983575,cv7a36wq,0.6363636363636364,14,22,5.379876796714579,0.4,0.49281314168377843
5,5.87542778918549,JZso4SBx,0.7272727272727273,16,22,5.420944558521561,0.5333333333333333,0.4544832306639286
5,5.878165639972622,pMavD4mo,1,22,22,5.817932922655715,0.8666666666666667,0.06023271731690638
6,6.023271731690623,G1mPLXxe,0.7272727272727273,16,22,5.579739904175223,0.7333333333333333,0.4435318275154003
6,6.09719370294319,8tzMUZoR,0.8181818181818181,18,22,5.544147843942505,0.6,0.5530458590006848
6,6.154688569472964,hyfSo1Hc,0.9545454545454546,21,22,5.623545516769336,0.7333333333333333,0.5311430527036283
6,6.165639972621492,JMB87zmg,0.8636363636363636,19,22,5.645448323066393,0.4666666666666667,0.5201916495550991
6,6.165639972621492,K1hmwAEo,0.8636363636363636,19,22,5.664613278576318,0.8666666666666667,0.5010266940451746
6,6.168377823408624,hTTcbwWr,0.8181818181818181,18,22,5.670088980150582,0.4666666666666667,0.49828884325804257
6,6.203969883641341,eckGCaVS,0.8636363636363636,19,22,5.66735112936345,0.6,0.5366187542778915
6,6.272416153319644,yeo9aAep,0.6363636363636364,14,22,5.768651608487337,0.26666666666666666,0.5037645448323067
6,6.3025325119780975,KeTKU8WU,1,22,22,5.809719370294319,0.4,0.49281314168377843
6,6.329911019849418,BKPABfqM,0.7272727272727273,16,22,5.804243668720055,0.6,0.5256673511293632
6,6.401095140314853,Ge2FaXua,0.8636363636363636,19,22,5.9110198494182065,0.4666666666666667,0.49007529089664637
6,6.409308692676249,yoLo5ADo,0.9090909090909091,20,22,5.6591375770020536,0.4666666666666667,0.7501711156741955
6,6.425735797399041,bQMUMgh5,0.6818181818181819,15,22,5.894592744695414,0.6,0.5311430527036274
6,6.436687200547571,eYTKvB58,0.6818181818181819,15,22,5.886379192334018,0.9333333333333333,0.5503080082135527
6,6.453114305270363,2AcAMqCP,0.8636363636363636,19,22,5.87542778918549,0.4,0.5776865160848734
6,6.469541409993155,dwnvvRBb,0.8181818181818181,18,22,5.94113620807666,0.8666666666666667,0.5284052019164953
6,6.507871321013004,f1Tffqee,0.8181818181818181,18,22,5.765913757700205,0.9333333333333333,0.7419575633127993
6,6.5188227241615335,9Lwhk67b,0.8181818181818182,18,22,5.94113620807666,0.7333333333333333,0.5776865160848734
6,6.529774127310062,3J3CDH1e,0.9090909090909091,20,22,5.727583846680356,0.6,0.8021902806297057
6,6.562628336755647,8bSBCphi,0.9545454545454546,21,22,5.990417522245037,0.4666666666666667,0.5722108145106093
6,6.590006844626968,Ay9ZHXXJ,0.8636363636363635,19,22,6.026009582477755,1,0.5639972621492131
6,6.611909650924025,6XwHZANx,0.9545454545454546,21,22,6.039698836413415,0.8666666666666667,0.5722108145106093
6,6.652977412731006,GXVP2bBd,0.8181818181818181,18,22,6.138261464750171,0.06666666666666667,0.514715947980835
6,6.663928815879535,dxWYAfo9,0.8636363636363636,19,22,6.151950718685832,0.5333333333333333,0.5119780971937029
6,6.663928815879535,hkgtxF49,0.6818181818181819,15,22,6.105407255304586,0.4666666666666667,0.558521560574949
6,6.694045174537988,8FZw4XJY,0.5454545454545454,12,22,6.121834360027378,0.2,0.5722108145106093
6,6.713210130047912,FfikcWMD,0.9090909090909091,20,22,6.160164271047228,0.5333333333333333,0.5530458590006839
6,6.746064339493498,6LyAvBuh,0.8636363636363636,19,22,6.151950718685832,0.26666666666666666,0.5941136208076658
6,6.7734428473648185,ds6shHHP,0.8636363636363636,19,22,6.242299794661191,0.7333333333333333,0.5311430527036274
6,6.778918548939083,aoxpkdue,0.6363636363636364,14,22,6.209445585215605,0.6666666666666666,0.5694729637234772
6,6.844626967830253,HGZDFhgo,1,22,22,6.310746064339494,0.6,0.5338809034907595
6,6.872005475701574,gRp5ktdD,0.8181818181818182,18,22,6.308008213552362,0.7333333333333333,0.5639972621492122
6,6.937713894592744,35zXz9Fv,1,22,22,6.379192334017796,0.2,0.5585215605749481
6,6.97056810403833,ACsC3uQh,0.7272727272727273,16,22,6.4284736481861735,0.26666666666666666,0.5420944558521565
6,6.981519507186858,6mWcUCB2,0.9090909090909091,20,22,6.403832991101985,0.8666666666666667,0.5776865160848734
6,6.9897330595482545,bdUMeohZ,0.6818181818181818,15,22,6.406570841889117,0.4666666666666667,0.5831622176591376
7,7.003422313483915,eTY1Xtz7,0.9090909090909091,20,22,6.483230663928816,0.3333333333333333,0.5201916495550991
7,7.222450376454483,hMF5pWLN,0.8181818181818181,18,22,6.740588637919234,0.9333333333333333,0.4818617385352493
7,7.236139630390143,i9fhP7e6,0.9090909090909091,20,22,6.7268993839835725,0.3333333333333333,0.5092402464065708
7,7.247091033538672,gStxQPiD,0.7272727272727273,16,22,6.765229295003422,0.4666666666666667,0.4818617385352493
7,7.288158795345653,DtM3PrD3,0.8181818181818182,18,22,6.7351129363449695,0.6,0.553045859000683
7,7.301848049281314,fEnDVZEZ,0.9090909090909091,20,22,6.7734428473648185,0.8666666666666667,0.5284052019164953
7,7.353867214236824,5aM8nmqm,0.6818181818181819,15,22,6.798083504449007,0.2,0.5557837097878169
7,7.394934976043806,EAGyera2,0.8636363636363636,19,22,6.882956878850103,0.3333333333333333,0.5119780971937029
7,7.411362080766598,55yXyZtw,1,22,22,6.841889117043121,0.8,0.5694729637234772
7,7.534565366187543,ggqXxMnS,0.8636363636363636,19,22,7.036276522929501,0.8,0.49828884325804257
7,7.545516769336071,fNTR4uat,0.8636363636363635,19,22,6.97056810403833,0.8666666666666667,0.5749486652977414
7,7.575633127994524,eZaodMHq,0.9090909090909091,20,22,7.039014373716633,0.7333333333333333,0.5366187542778915
